serial,choice1_votecode,choice1_value,choice2_votecode,choice2_value
51,50258-68646-40240-08075,For,21944-52742-72713-58520,Against
52,60851-91910-59790-49755,For,49458-53381-36335-49025,Against
53,94881-84675-62624-53282,For,75495-47757-29892-07076,Against
54,03881-10360-55064-31079,For,46910-71057-79239-85052,Against
55,19721-66431-15518-74540,For,54911-58610-14041-37082,Against
56,32582-94232-38153-57567,For,51509-22024-78104-53129,Against
57,79383-63939-24121-17822,For,80679-85133-50672-05681,Against
58,60699-55226-68826-18812,For,12386-95150-62264-38063,Against
59,37749-93927-33149-64172,For,66341-81191-16012-29054,Against
60,07049-56388-23753-17660,For,09948-60130-80633-82875,Against
61,96384-34634-73091-98409,For,87267-29388-79149-75558,Against
62,62804-74360-35570-78096,For,18777-12683-46695-17444,Against
63,28596-59998-61544-30683,For,55992-17769-86646-65360,Against
64,75161-23401-04312-97176,For,63524-86079-77880-09371,Against
65,08679-08598-90759-47324,For,44255-86376-77817-64749,Against
66,36083-10144-23230-96410,For,21142-35363-69483-64299,Against
67,00983-24743-49863-58971,For,65748-64695-58854-61832,Against
68,80660-23771-43968-40448,For,12935-52355-34878-72461,Against
69,23258-76403-00271-71372,For,10360-06059-31510-93152,Against
70,37433-68709-18551-92270,For,74126-58476-71129-26534,Against
71,09074-68592-89111-32267,For,72010-48161-28695-56342,Against
72,79716-79815-63524-58773,For,81128-79284-25779-38630,Against
73,32366-88842-52076-65261,For,08426-62705-04394-32339,Against
74,98094-26381-32195-50168,For,97608-94836-91596-04989,Against
75,72777-84927-08255-02017,For,61760-41429-37794-66765,Against
76,76520-04817-19253-06068,For,96339-29766-93792-19686,Against
77,25157-91109-11378-60149,For,15879-23528-18920-95277,Against
78,19901-31628-86033-79374,For,85557-56045-26408-39053,Against
79,71787-31213-71741-83478,For,49449-42257-63894-19730,Against
80,58548-01405-34094-67629,For,09155-65315-26534-80381,Against
81,32483-66909-29351-27290,For,53705-85098-42004-30287,Against
82,89102-84008-09597-59907,For,85511-54830-40547-80985,Against
83,32096-84288-65964-82622,For,98733-38234-98805-58719,Against
84,92081-43689-02288-15635,For,52094-74946-04899-47973,Against
85,31862-00613-61111-03449,For,98201-47577-56243-88446,Against
86,64514-55299-30421-47234,For,74270-78203-45434-95970,Against
87,67124-05401-13051-57242,For,67593-87618-37802-13079,Against
88,43904-33248-29496-66305,For,60806-05799-47171-27137,Against
89,58755-45678-78096-70256,For,47126-20224-42491-68844,Against
90,96096-99237-02495-02107,For,53877-22628-03674-90344,Against
91,66477-30764-20413-45623,For,49098-18010-44462-58566,Against
92,15275-81371-22501-12232,For,60338-91271-59105-19956,Against
93,95925-97635-90560-66756,For,61814-42211-68916-70896,Against
94,44345-88482-20701-14997,For,05366-89247-70625-59222,Against
95,30656-28325-63597-64398,For,32348-36597-20008-92900,Against
96,14032-73505-82848-99165,For,96870-23410-40961-11143,Against
97,16652-15059-79022-62525,For,59123-48279-26444-05177,Against
98,19631-31213-07283-34724,For,30683-53435-97158-62750,Against
99,59123-47072-25797-49737,For,63407-28712-40187-80318,Against
